Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.078,1.1E-6,04/23/2024 01:21:47 pm,0.078,5.4E-7,04/23/2024 01:21:57 pm,0.078,1.2E-6,04/23/2024 01:22:05 pm,0.078,8.2E-7
04/23/2024 01:21:35 pm,0.079,1.0E-6,04/23/2024 01:21:47 pm,0.079,6.3E-7,04/23/2024 01:21:57 pm,0.079,1.2E-6,04/23/2024 01:22:05 pm,0.079,8.7E-7
04/23/2024 01:21:35 pm,0.080,1.2E-6,04/23/2024 01:21:47 pm,0.080,4.6E-7,04/23/2024 01:21:57 pm,0.080,1.3E-6,04/23/2024 01:22:05 pm,0.080,8.7E-7
04/23/2024 01:21:35 pm,0.081,9.8E-7,04/23/2024 01:21:47 pm,0.081,4.2E-7,04/23/2024 01:21:57 pm,0.081,1.3E-6,04/23/2024 01:22:05 pm,0.081,8.3E-7
04/23/2024 01:21:35 pm,0.082,1.2E-6,04/23/2024 01:21:47 pm,0.082,5.8E-7,04/23/2024 01:21:57 pm,0.082,1.3E-6,04/23/2024 01:22:05 pm,0.082,7.9E-7
04/23/2024 01:21:35 pm,0.083,1.2E-6,04/23/2024 01:21:47 pm,0.083,3.5E-7,04/23/2024 01:21:57 pm,0.083,1.2E-6,04/23/2024 01:22:05 pm,0.083,6.5E-7
04/23/2024 01:21:35 pm,0.084,1.1E-6,04/23/2024 01:21:47 pm,0.084,3.3E-7,04/23/2024 01:21:57 pm,0.084,1.3E-6,04/23/2024 01:22:05 pm,0.084,7.5E-7
04/23/2024 01:21:35 pm,0.085,1.1E-6,04/23/2024 01:21:47 pm,0.085,3.5E-7,04/23/2024 01:21:57 pm,0.085,1.3E-6,04/23/2024 01:22:05 pm,0.085,8.7E-7
04/23/2024 01:21:35 pm,0.086,1.1E-6,04/23/2024 01:21:47 pm,0.086,2.8E-7,04/23/2024 01:21:57 pm,0.086,1.3E-6,04/23/2024 01:22:05 pm,0.086,9.1E-7
04/23/2024 01:21:35 pm,0.087,1.2E-6,04/23/2024 01:21:47 pm,0.087,2.8E-7,04/23/2024 01:21:57 pm,0.087,1.2E-6,04/23/2024 01:22:05 pm,0.087,9.3E-7
04/23/2024 01:21:35 pm,0.088,1.2E-6,04/23/2024 01:21:47 pm,0.088,1.0E-7,04/23/2024 01:21:57 pm,0.088,1.1E-6,04/23/2024 01:22:05 pm,0.088,8.3E-7
04/23/2024 01:21:35 pm,0.089,1.1E-6,04/23/2024 01:21:47 pm,0.089,1.2E-7,04/23/2024 01:21:57 pm,0.089,1.3E-6,04/23/2024 01:22:05 pm,0.089,6.9E-7
